Camera Deployment Name,Latitude,Longitude,Duration,American Beaver,American Black Bear,American Mink,American Red Squirrel,Animal Not On List,Bicycle,Blue Jay,Bobcat,Calibration Photos,Camera Misfire,Camera Trapper,Cotton Rat,Coyote,Crow or Raven,Domestic Cat,Domestic Cow,Domestic Dog,Domestic Horse,Eastern Chipmunk,Eastern Cottontail,Eastern Fox Squirrel,Eastern Gray Squirrel,Eastern Spotted Skunk,Eastern Woodrat,Fisher,Flying Squirrel species,Gray Fox,"Human, non staff",Long-tailed Weasel,No Animal,Northern Bobwhite,Northern Flying Squirrel,Northern Raccoon,Red Fox,River Otter,Ruffed Grouse,Southern Flying Squirrel,Striped Skunk,Time Lapse,Turkey Vulture,Unknown Animal,Unknown Bird,Unknown Canine,Unknown Carnivore,Unknown Feline,Unknown Fox,Unknown mouse or rat,Unknown Owl,Unknown Squirrel,Unknown Weasel,Vehicle,Virginia Opossum,White-tailed Deer,Wild Boar,Wild Turkey,Woodchuck
Mason Neck 26B,38.64397,-77.16672,20.02638889,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mason Neck 26C,38.64404,-77.16846,20.01944444,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Mason Neck 27A,38.64579,-77.16532,20.95208333,0,0,0,0,0,0,0,0,2,0,8,0,3,0,0,0,104,0,0,0,0,2,0,0,0,0,0,293,0,3,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Neck 27B,38.64582,-77.1647,20.94027778,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
Mason Neck 28 A Duplicate,38.64763,-77.16172,14.17430556,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Mason Neck 28B,38.64827,-77.16098,19.97152778,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
Mason Neck 28B Duplicate,38.64813,-77.16092,40.04861111,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Mason Neck 28C,38.64802,-77.16098,19.99097222,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mason Neck 28C Duplicate,38.6493,-77.16042,14.15,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Mason Neck 29A,38.64607,-77.15847,21.96041667,0,0,0,0,0,0,0,0,1,9,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Mason Neck 29B,38.64717,-77.15903,21.95347222,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Mason Neck 29C,38.64817,-77.15782,21.94791667,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Mason Neck 30A,38.64677,-77.15453,18.97638889,0,0,0,0,0,0,0,0,1,7,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
